angulo,segmento,headline,primary_text,descricao,cta,lp_url
dor_sintoma,geral,Cansaço que não passa? Não é idade.,"Você dorme e acorda cansado. Acha que é rotina, estresse, idade. Mas o cansaço que não passa é um dos primeiros sinais de que a diabetes está agindo no seu corpo inteiro — não só na glicose. O Método DM2 é um protocolo de doze semanas que atua na causa. Não é remédio. É diferente. É um método clínico para buscar a remissão. 📍 Mais de 50 unidades no Brasil.",Protocolo de 12 semanas,Quero conhecer o método,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
dor_sintoma,geral,Formigamento nas mãos e nos pés?,"Formigamento nos pés. Dormência nas mãos. ""É circulação"", dizem. Mas quando a diabetes não é tratada na raiz, os nervos sofrem. E isso só piora. Em doze semanas, o Método DM2 trabalha na desinflamação, na circulação e no metabolismo completo. Muita gente sente melhora já nas primeiras sessões.",Remissão da diabetes tipo 2,Fale com um especialista DM2,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
dor_sintoma,geral,Vista embaçada que vai e volta?,"Você dorme e acorda cansado. Acha que é rotina, estresse, idade. Mas o cansaço que não passa é um dos primeiros sinais de que a diabetes está agindo no seu corpo inteiro — não só na glicose. O Método DM2 é um protocolo de doze semanas que atua na causa. 📍 Mais de 50 unidades no Brasil.",Resultado comprovado em exames,Descubra se o método é pra você,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
dor_sintoma,geral,Dores nas pernas toda noite?,"Formigamento nos pés. Dormência nas mãos. ""É circulação"", dizem. Mas quando a diabetes não é tratada na raiz, os nervos sofrem. E isso só piora. Em doze semanas, o Método DM2 trabalha na desinflamação, na circulação e no metabolismo completo.",Acompanhamento semanal,Quero conhecer o método,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
dor_sintoma,mulheres,Acordou exausta de novo?,"Você tenta emagrecer. Controla a alimentação. Faz exercício. E o peso não sai. Não é falta de disciplina. Quando a diabetes está ativa, seu metabolismo trava. Primeiro precisa resolver a causa — o peso responde depois. O Método DM2 foi pensado pra isso. doze semanas. Resultado nos exames.",Protocolo de 12 semanas,Descubra se o método é pra você,https://elainecouti.github.io/dm2-mulheres/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
dor_sintoma,mulheres,Peso que não sai mesmo com dieta?,"Você tenta emagrecer. Controla a alimentação. Faz exercício. E o peso não sai. Não é falta de disciplina. Quando a diabetes está ativa, seu metabolismo trava. Primeiro precisa resolver a causa — o peso responde depois. O Método DM2 foi pensado pra isso. doze semanas. Resultado nos exames.",Remissão da diabetes tipo 2,Quero conhecer o método,https://elainecouti.github.io/dm2-mulheres/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
dor_sintoma,mulheres,Tonteiras e enjoos sem explicação?,"Você tenta emagrecer. Controla a alimentação. Faz exercício. E o peso não sai. Não é falta de disciplina. Quando a diabetes está ativa, seu metabolismo trava. O Método DM2 foi pensado pra isso. doze semanas. Resultado nos exames.",50+ unidades no Brasil,Fale com um especialista DM2,https://elainecouti.github.io/dm2-mulheres/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
dor_sintoma,homens,Disfunção erétil e diabetes: a conexão,"Ninguém fala sobre isso na consulta. Mas a diabetes tipo 2 afeta diretamente a circulação, os nervos e a resposta sexual. Não é psicológico. É metabólico. O Método DM2 atua na causa: desinflamação, circulação, recuperar o metabolismo. Em doze semanas, com resultados que você vê nos exames.",Método exclusivo DM2,Fale com um especialista DM2,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
dor_sintoma,homens,Indisposição que ninguém entende?,"Ninguém fala sobre isso na consulta. Mas a diabetes tipo 2 afeta diretamente a circulação, os nervos e a resposta sexual. Não é psicológico. É metabólico. O Método DM2 atua na causa: desinflamação, circulação, recuperar o metabolismo. Em doze semanas, com resultados nos exames.",Protocolo de 12 semanas,Quero conhecer o método,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
dor_sintoma,geral,Seu corpo tá pedindo socorro.,"Você dorme e acorda cansado. Acha que é rotina, estresse, idade. Mas o cansaço que não passa é um dos primeiros sinais de que a diabetes está agindo no seu corpo inteiro. O Método DM2 é um protocolo de doze semanas que atua na causa.",Resultado comprovado em exames,Comece suas 12 semanas,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
